,WSVF,OPT,M,N,SIGMA_W_P
0,425.1333333333333,425.1333333333333,3,21,425.1333333333333
1,410.56666666666666,410.56666666666666,3,21,410.56666666666666
2,408.6,408.6,3,21,408.6
3,400.26666666666665,396.7,3,21,396.7
4,418.7,413.3666666666667,3,21,404.8333333333333
5,441.9,433.53333328591765,3,21,409.06666666666666
6,479.7,468.16666665001355,3,21,428.7
7,501.8333333333333,483.46666666666664,3,21,424.6333333333333
8,507.73333333333335,489.4333333126543,3,21,415.96666666666664
9,514.1,491.99999969301865,3,21,403.3
